Chidamber-Kemerer metrics,Wed, 1 May 2024 02:22:47 GMT-05:00
Class,CBO,DIT,LCOM,NOC,RFC,WMC
org.apache.fontbox.EncodedFont,n/a,n/a,n/a,n/a,1,n/a
org.apache.fontbox.FontBoxFont,n/a,n/a,n/a,n/a,6,n/a
org.apache.fontbox.afm.AFMParser,12,1,1,0,108,99
org.apache.fontbox.afm.AFMParserTest,2,1,1,0,7,1
org.apache.fontbox.afm.CharMetric,6,1,14,0,31,29
org.apache.fontbox.afm.Composite,3,1,2,0,7,5
org.apache.fontbox.afm.CompositePart,2,1,3,0,6,6
org.apache.fontbox.afm.FontMetrics,13,1,35,0,94,88
org.apache.fontbox.afm.KernPair,2,1,4,0,8,8
org.apache.fontbox.afm.Ligature,2,1,2,0,4,4
org.apache.fontbox.afm.TrackKern,2,1,5,0,10,10
org.apache.fontbox.cff.CFFCIDFont,12,2,6,0,39,29
org.apache.fontbox.cff.CFFCIDFont.PrivateType1CharStringReader,3,1,1,0,2,1
org.apache.fontbox.cff.CFFCharset,12,1,1,4,15,23
org.apache.fontbox.cff.CFFDataInput,2,2,5,0,11,8
org.apache.fontbox.cff.CFFEncoding,7,2,2,3,5,3
org.apache.fontbox.cff.CFFExpertCharset,2,2,1,0,5,3
org.apache.fontbox.cff.CFFExpertEncoding,2,3,1,0,3,3
org.apache.fontbox.cff.CFFExpertSubsetCharset,2,2,1,0,5,3
org.apache.fontbox.cff.CFFFont,16,1,8,2,25,15
org.apache.fontbox.cff.CFFISOAdobeCharset,2,2,1,0,5,3
org.apache.fontbox.cff.CFFOperator,4,1,3,0,18,12
org.apache.fontbox.cff.CFFOperator.Key,2,1,1,0,11,9
org.apache.fontbox.cff.CFFParser,38,1,1,0,126,137
org.apache.fontbox.cff.CFFParser.ByteSource,n/a,n/a,n/a,n/a,1,n/a
org.apache.fontbox.cff.CFFParser.CFFBuiltInEncoding,5,3,0,2,0,0
org.apache.fontbox.cff.CFFParser.CFFBuiltInEncoding.Supplement,2,1,3,0,6,4
org.apache.fontbox.cff.CFFParser.DictData,3,1,1,0,18,12
org.apache.fontbox.cff.CFFParser.DictData.Entry,3,1,1,0,18,13
org.apache.fontbox.cff.CFFParser.EmbeddedCharset,5,2,0,4,2,1
org.apache.fontbox.cff.CFFParser.EmptyCharset,3,3,0,0,6,3
org.apache.fontbox.cff.CFFParser.Format0Charset,2,3,0,0,5,2
org.apache.fontbox.cff.CFFParser.Format0Encoding,2,4,0,0,4,1
org.apache.fontbox.cff.CFFParser.Format0FDSelect,4,2,1,0,7,4
org.apache.fontbox.cff.CFFParser.Format1Charset,4,3,1,0,14,10
org.apache.fontbox.cff.CFFParser.Format1Encoding,2,4,0,0,4,1
org.apache.fontbox.cff.CFFParser.Format2Charset,4,3,1,0,13,8
org.apache.fontbox.cff.CFFParser.Format3FDSelect,4,2,1,0,7,8
org.apache.fontbox.cff.CFFParser.Header,1,1,0,0,3,1
org.apache.fontbox.cff.CFFParser.Range3,2,1,0,0,3,1
org.apache.fontbox.cff.CFFParser.RangeMapping,3,1,1,0,8,8
org.apache.fontbox.cff.CFFParserTest,4,1,1,0,16,5
org.apache.fontbox.cff.CFFStandardEncoding,2,3,1,0,3,3
org.apache.fontbox.cff.CFFStandardString,2,1,1,0,2,2
org.apache.fontbox.cff.CFFType1Font,13,2,2,0,28,23
org.apache.fontbox.cff.CFFType1Font.PrivateType1CharStringReader,3,1,1,0,2,1
org.apache.fontbox.cff.CIDKeyedType2CharString,3,3,1,0,4,2
org.apache.fontbox.cff.CharStringCommand,6,1,1,0,18,11
org.apache.fontbox.cff.CharStringCommand.Key,4,1,1,0,9,12
org.apache.fontbox.cff.CharStringHandler,3,1,1,2,6,4
org.apache.fontbox.cff.DataInput,6,1,1,1,19,21
org.apache.fontbox.cff.DataOutput,1,1,1,0,14,9
org.apache.fontbox.cff.FDSelect,4,1,1,2,2,1
org.apache.fontbox.cff.Type1CharString,15,1,1,1,55,66
org.apache.fontbox.cff.Type1CharStringParser,4,1,1,0,29,29
org.apache.fontbox.cff.Type1FontUtil,2,1,3,0,19,15
org.apache.fontbox.cff.Type1FontUtilTest,1,3,1,0,17,11
org.apache.fontbox.cff.Type2CharString,9,2,3,1,37,75
org.apache.fontbox.cff.Type2CharStringParser,6,1,1,0,26,37
org.apache.fontbox.cmap.CIDRange,1,1,1,0,4,7
