,Class,DIT,LCOM,RFC,WMC,Version
0,org.apache.fontbox.afm.AFMParser,1.0,1.0,108,99.0,2.0.26
1,org.apache.fontbox.afm.AFMParserTest,1.0,1.0,7,1.0,2.0.26
2,org.apache.fontbox.afm.CharMetric,1.0,14.0,31,29.0,2.0.26
3,org.apache.fontbox.afm.Composite,1.0,2.0,7,5.0,2.0.26
4,org.apache.fontbox.afm.CompositePart,1.0,3.0,6,6.0,2.0.26
5,org.apache.fontbox.afm.FontMetrics,1.0,35.0,94,88.0,2.0.26
6,org.apache.fontbox.afm.KernPair,1.0,4.0,8,8.0,2.0.26
7,org.apache.fontbox.afm.Ligature,1.0,2.0,4,4.0,2.0.26
8,org.apache.fontbox.afm.TrackKern,1.0,5.0,10,10.0,2.0.26
9,org.apache.fontbox.cff.CFFCIDFont,2.0,6.0,39,29.0,2.0.26
10,org.apache.fontbox.cff.CFFCIDFont.PrivateType1CharStringReader,1.0,1.0,2,1.0,2.0.26
11,org.apache.fontbox.cff.CFFCharset,1.0,1.0,15,23.0,2.0.26
12,org.apache.fontbox.cff.CFFDataInput,2.0,5.0,11,8.0,2.0.26
13,org.apache.fontbox.cff.CFFEncoding,2.0,2.0,5,3.0,2.0.26
14,org.apache.fontbox.cff.CFFExpertCharset,2.0,1.0,5,3.0,2.0.26
15,org.apache.fontbox.cff.CFFExpertEncoding,3.0,1.0,3,3.0,2.0.26
16,org.apache.fontbox.cff.CFFExpertSubsetCharset,2.0,1.0,5,3.0,2.0.26
17,org.apache.fontbox.cff.CFFFont,1.0,8.0,25,15.0,2.0.26
18,org.apache.fontbox.cff.CFFISOAdobeCharset,2.0,1.0,5,3.0,2.0.26
19,org.apache.fontbox.cff.CFFOperator,1.0,3.0,18,12.0,2.0.26
20,org.apache.fontbox.cff.CFFOperator.Key,1.0,1.0,11,9.0,2.0.26
21,org.apache.fontbox.cff.CFFParser,1.0,1.0,126,137.0,2.0.26
22,org.apache.fontbox.cff.CFFParser.CFFBuiltInEncoding,3.0,0.0,0,0.0,2.0.26
23,org.apache.fontbox.cff.CFFParser.CFFBuiltInEncoding.Supplement,1.0,3.0,6,4.0,2.0.26
24,org.apache.fontbox.cff.CFFParser.DictData,1.0,1.0,18,12.0,2.0.26
25,org.apache.fontbox.cff.CFFParser.DictData.Entry,1.0,1.0,18,13.0,2.0.26
26,org.apache.fontbox.cff.CFFParser.EmbeddedCharset,2.0,0.0,2,1.0,2.0.26
27,org.apache.fontbox.cff.CFFParser.EmptyCharset,3.0,0.0,6,3.0,2.0.26
28,org.apache.fontbox.cff.CFFParser.Format0Charset,3.0,0.0,5,2.0,2.0.26
29,org.apache.fontbox.cff.CFFParser.Format0Encoding,4.0,0.0,4,1.0,2.0.26
30,org.apache.fontbox.cff.CFFParser.Format0FDSelect,2.0,1.0,7,4.0,2.0.26
31,org.apache.fontbox.cff.CFFParser.Format1Charset,3.0,1.0,14,10.0,2.0.26
32,org.apache.fontbox.cff.CFFParser.Format1Encoding,4.0,0.0,4,1.0,2.0.26
33,org.apache.fontbox.cff.CFFParser.Format2Charset,3.0,1.0,13,8.0,2.0.26
34,org.apache.fontbox.cff.CFFParser.Format3FDSelect,2.0,1.0,7,8.0,2.0.26
35,org.apache.fontbox.cff.CFFParser.Header,1.0,0.0,3,1.0,2.0.26
36,org.apache.fontbox.cff.CFFParser.Range3,1.0,0.0,3,1.0,2.0.26
37,org.apache.fontbox.cff.CFFParser.RangeMapping,1.0,1.0,8,8.0,2.0.26
38,org.apache.fontbox.cff.CFFParserTest,1.0,1.0,16,5.0,2.0.26
39,org.apache.fontbox.cff.CFFStandardEncoding,3.0,1.0,3,3.0,2.0.26
40,org.apache.fontbox.cff.CFFStandardString,1.0,1.0,2,2.0,2.0.26
41,org.apache.fontbox.cff.CFFType1Font,2.0,2.0,28,23.0,2.0.26
42,org.apache.fontbox.cff.CFFType1Font.PrivateType1CharStringReader,1.0,1.0,2,1.0,2.0.26
43,org.apache.fontbox.cff.CIDKeyedType2CharString,3.0,1.0,4,2.0,2.0.26
44,org.apache.fontbox.cff.CharStringCommand,1.0,1.0,18,11.0,2.0.26
45,org.apache.fontbox.cff.CharStringCommand.Key,1.0,1.0,9,12.0,2.0.26
46,org.apache.fontbox.cff.CharStringHandler,1.0,1.0,6,4.0,2.0.26
47,org.apache.fontbox.cff.DataInput,1.0,1.0,19,21.0,2.0.26
48,org.apache.fontbox.cff.DataOutput,1.0,1.0,14,9.0,2.0.26
49,org.apache.fontbox.cff.FDSelect,1.0,1.0,2,1.0,2.0.26
50,org.apache.fontbox.cff.Type1CharString,1.0,1.0,55,66.0,2.0.26
51,org.apache.fontbox.cff.Type1CharStringParser,1.0,1.0,29,29.0,2.0.26
52,org.apache.fontbox.cff.Type1FontUtil,1.0,3.0,19,15.0,2.0.26
53,org.apache.fontbox.cff.Type1FontUtilTest,3.0,1.0,17,11.0,2.0.26
54,org.apache.fontbox.cff.Type2CharString,2.0,3.0,37,75.0,2.0.26
55,org.apache.fontbox.cff.Type2CharStringParser,1.0,1.0,26,37.0,2.0.26
56,org.apache.fontbox.cmap.CIDRange,1.0,1.0,4,7.0,2.0.26
57,org.apache.fontbox.cmap.CMap,1.0,7.0,61,46.0,2.0.26
58,org.apache.fontbox.cmap.CMapParser,1.0,1.0,72,118.0,2.0.26
59,org.apache.fontbox.cmap.CMapParser.LiteralName,1.0,0.0,1,1.0,2.0.26
60,org.apache.fontbox.cmap.CMapParser.Operator,1.0,0.0,1,1.0,2.0.26
61,org.apache.fontbox.cmap.CodespaceRange,1.0,1.0,10,17.0,2.0.26
62,org.apache.fontbox.cmap.TestCMap,3.0,2.0,13,2.0,2.0.26
63,org.apache.fontbox.cmap.TestCMapParser,3.0,7.0,29,8.0,2.0.26
64,org.apache.fontbox.cmap.TestCodespaceRange,3.0,3.0,10,3.0,2.0.26
65,org.apache.fontbox.encoding.BuiltInEncoding,2.0,0.0,5,2.0,2.0.26
