,Class,Bugs
0,CFFParser.java,5
1,COSParser.java,11
2,GlyfCompositeDescript.java,2
3,CFFCharset.java,0
4,COSWriter.java,1
5,AcroFormOrphanWidgetsProcessor.java,5
6,BaseParser.java,5
7,PDCIDFontType2.java,2
8,PDFileAttachmentAppearanceHandler.java,1
9,PageDrawer.java,3
10,COSFilterInputStream.java,1
11,PDAnnotationMarkup.java,0
12,CreateSignature.java,2
13,CreateVisibleSignature.java,3
14,CreateVisibleSignature2.java,2
15,TestToUnicodeWriter.java,2
16,PfbParserTest.java,3
17,PfbParser.java,1
18,TestTextToPdf.java,4
19,TextToPDF.java,2
20,ToUnicodeWriter.java,1
21,PDImageXObjectTest.java,1
22,PDImageXObject.java,1
23,TestImageIOUtils.java,0
24,PDFCloneUtility.java,2
25,AddValidationInformation.java,1
26,PDFieldFactory.java,0
27,PDFRenderer.java,3
28,SigUtils.java,2
29,CRLVerifier.java,0
30,CertificateVerifier.java,0
31,OcspHelper.java,0
32,CertInformationCollector.java,0
33,ConnectedInputStream.java,0
34,TestCreateSignature.java,1
35,TTFParser.java,1
36,PDAbstractContentStream.java,1
37,PDPageContentStream.java,0
38,PDTerminalField.java,0
39,PDHighlightAppearanceHandler.java,0
40,PDInkAppearanceHandler.java,0
41,PDLineAppearanceHandler.java,0
42,PDPolygonAppearanceHandler.java,0
43,PDPolylineAppearanceHandler.java,0
44,PDSquigglyAppearanceHandler.java,0
45,PDStrikeoutAppearanceHandler.java,0
46,PDUnderlineAppearanceHandler.java,0
47,PDAcroForm.java,1
48,PDPageTree.java,2
49,Type1Lexer.java,5
50,SecurityHandler.java,0
51,PDNumberTreeNode.java,0
52,PDNameTreeNode.java,0
53,PDDocument.java,1
54,COSArray.java,0
55,PDFStreamEngine.java,2
56,PDShadingType5.java,1
57,Type1Parser.java,5
58,PreflightParser.java,0
59,PublicKeyDecryptionMaterial.java,0
60,PDFunctionType0.java,1
61,PDMeshBasedShadingType.java,2
62,PDShadingType4.java,1
63,AppearanceGeneratorHelper.java,1
64,PDFontFactory.java,1
65,ExtensionFileFilter.java,0
66,PDFDebugger.java,3
67,PDInlineImageTest.java,1
68,PDType0Font.java,2
69,Type2CharString.java,1
